日本語,English,中文,한국語,,タグ説明
可愛い顔して意外と剛毛なのか？\I[15],,,,,
では、彼女を丸裸にしたところで、,,,,,
肉体遍歴の方も丸裸にしていきましょうか,,,,,
彼女は\C[6]特別なパートナー\C[0]がいる模様……,,,,,
彼女の心中には、将来を誓いあった恋人がいる,,,,,
塗りつぶしてくださいませ,,,,,
彼氏とは絶対ヤラないようなプレイで…,,,,,
埋めてあげてくださいませ,,,,,
さぁ、以上で商品説明は終了です,,,,,
1日自由にできる権利でございます,,,,,
文字通り、NGプレイは一切ありません！,,,,,
意中の彼女を、存分にお楽しみいただけます！,,,,,
落札おめでとうございます！,,,,,
ご案内いたします,,,,,
それではごゆっくり,,,,,
お楽しみください……\I[15],,,,,

333:EV019:0,,,,,
はぁ……\I[15]はぁ……\I[15],,,,,
今日はどの娘を落とすかな……？,,,,,
地上のソープなんかじゃ,,,,,
いくら払ってもできないコト……やってやる…\I[15],,,,,

333:EV023:0,,,,,
ホッホッ！！愉悦、愉悦！,,,,,
地上ではいくら金を払ってもこのような,,,,,
余興はできんのぉ～,,,,,

333:受付:0,,,,,
\>\^本日も最高の一点モノが入っておりますよ,,,,,

333:EV029:0,,,,,
みたまえ、前の列の老人,,,,,
彼は地上でも大きな権力を握る大貴族だ,,,,,
ここのオークションは,,,,,
お忍びで利用する権力者が後を絶たんのは,,,,,
もはや公然の秘密だ,,,,,
かつては街を追われた犯罪者の,,,,,
集まりにすぎなかったこの地も、,,,,,
今や地上経済の一部なのだよ,,,,,
ならば、利用できるものは利用せねばな、フハハ！,,,,,

333:EV036:0,,,,,
\>\C[6]二層出土・女神の黄金大壺\C[0],,,,,
\>ペスマン卿により落札済み,,,,,

333:EV040:0,,,,,
しかしよく考えたものだ,,,,,
地上ではさばけないモノを売りさばく市とはな,,,,,
街を追放された落伍者の集まりと侮っていたが、,,,,,
悪には悪の才を持ったものもいるということか,,,,,

333:EV041:0,,,,,
美少年はッ！？美少年はまだなのッ！？,,,,,

15:EV014:0,,,,,
一体どこにいっちまったんだ…レア…,,,,,
なぁ、アンタもダンジョンに潜ってるんだろ,,,,,
人を探してるんだ、俺に協力してくれないか？,,,,,
「かまいませんよ」,,,,,
「無理です」,,,,,
助かるぜ…！,,,,,
ダンジョンの中ではぐれたパートナーを探してるんだ,,,,,
髪は紫でアンタと同じくらいの歳頃の女シーフだ,,,,,
名前はレア,,,,,
はぐれた場所は\C[2]ガラド城の西の実験棟\C[0]だ,,,,,
赤い影から逃げてる間にお互い見失っちまって…,,,,,
もう街に戻らなくなって1週間も経つ…,,,,,
頼む、どんな小さな手がかりでもいい,,,,,
見つけたら報告してくれ,,,,,
自分のことで手一杯なのですみません,,,,,
そうか…すまなかったな,,,,,

15:EV014:1,,,,,
どんな小さな手がかりでもいい,,,,,
見つけたら教えてくれ,,,,,

15:EV014:2,,,,,
西牢獄でこの手記が見つかりました,,,,,
おそらく彼女の所有物かと…,,,,,
なんだと！み、見せてくれ…！,,,,,
これは……暗号文だ……,,,,,
「重傷を負った」「動けない」…,,,,,
「村人」「招かれた」「2層」,,,,,
「ひときわ暗い沼、奥の奥」…,,,,,
読み取れるのはこれだけだ,,,,,
「招かれた」って一体どういうことだ…,,,,,
……誰に…どこに……！,,,,,
ああ、取り乱してすまない……ありがとうな,,,,,
これは礼だ、受け取ってくれ,,,,,
くそっ…考えていても、らちがあかない,,,,,
2層の沼を目指すしかない……！,,,,,

15:EV014:4,,,,,
あぁ…！無事だったのね！心配したわ！,,,,,
さぁ約束のお礼よ、受け取って,,,,,
私ね、一緒に潜ってたパートナーがいたの,,,,,
私はこの稼業をまだまだ続けたかったけど,,,,,
アイツはもう辞めたがっててさ,,,,,
で、その話で喧嘩してギクシャクしたまま,,,,,
足並みも揃わずにダンジョン内で離れ離れ……,,,,,
……アイツ…もう一人で街を出ちゃったんだろうな,,,,,
これ以上続けるつもりならペア解消だって言ってたから,,,,,
「……きっとそうです」,,,,,
if(s[353])「パートナーの居場所を知っています」,,,,,
彼は街を離れどこかで幸せに暮らしていることでしょう,,,,,
貴方も次の人生を生きるべきです,,,,,
……そうだね,,,,,
私もこの街を離れることにするわ,,,,,
もう、夢を見るって歳でもないしね,,,,,
これ、貰ってくれる？,,,,,
私みたいな三流探索者が唯一誇れる発掘品……,,,,,
初めてパートナーと潜ったときに手に入れたんだ,,,,,
ビギナーズラックってやつ？,,,,,
いいんですか、思い出の品なのでは,,,,,
うん、もういいの,,,,,
それじゃあ世話になったわね,,,,,
あなたの夢がかなうことを願っているわ！,,,,,
私、貴方のパートナーがどこにいるか知っています,,,,,
ど、どういうこと！なぜあなたが…！,,,,,
彼はどこにいるの！？,,,,,
知らないほうが貴方にとってはよいかもしれません……,,,,,
それでも知りたいのですか……？,,,,,
あ、あたりまえでしょ！,,,,,
だって……私の…大切な…たった一人のパートナーなんだから…！,,,,,
彼はヘグイの村にいます,,,,,
はぐれた貴方を追って村に辿り着いたようです,,,,,
そんな！！入れ違いになったってこと…？,,,,,
いや…そんなことより、早く助けに行かなきゃ！,,,,,
大丈夫、次はあなたの手を煩わせたりはしないわ,,,,,
毒沼も結界も準備さえしていれば楽勝よ,,,,,
ごめんなさい！それじゃあ私急ぐから！,,,,,

15:EV014:5,,,,,
おお！無事だったか！心配したんだぜ！,,,,,
ええ、なんとか,,,,,
今までもヤバイ場面は何度かあったが、,,,,,
今回は流石に肝を冷やしたぜ,,,,,
アンタが上手く立ち回ってくれなきゃ,,,,,
二人ともどうなってたかわからねぇ…本当に感謝だ,,,,,
ごめんなさい…私がドジ踏んじゃったせいで,,,,,
二人に迷惑かけちゃって……,,,,,
はぁ～…もうこれで探索は懲りたろ、レア,,,,,
いい加減、脚洗おうぜ,,,,,
そうねぇ…やっぱり私にはこの仕事、向いてないみたい,,,,,
で…でも……そしたらさ…ペアは解消……？,,,,,
な、なんだよ、別に探索しないと一緒にいちゃいけない,,,,,
なんて決まりはないだろ！,,,,,
え…えへへ……そっかぁ…そうだよね！,,,,,
そ、そうだよ！,,,,,
…す、すまねぇな……アンタには色々迷惑かけちまって…,,,,,
いえ、丸く収まったようで何よりです,,,,,
これ、使ってくれ,,,,,
俺達にはもう必要ないものだ,,,,,
っし……そんじゃ、そろそろいくわ！,,,,,
ありがとうね……！,,,,,
あなたに会えて本当によかった,,,,,
アンタなら…あのダンジョンで何か掴める気がする,,,,,
そんな予感がするぜ、達者でな！,,,,,

15:生意気な冒険者:0,,,,,
はぁ～？アタシと組みたいですって？,,,,,
冗談は顔だけにしてよね～\I[15],,,,,

15:借金取り:0,,,,,
街金のヤロウがやけに上機嫌だったな,,,,,
なんでも、回収に手こずってた厄介な客から,,,,,
利息まとめて一気に回収できたってな,,,,,
すみません、このあたりで怪しい男を,,,,,
見かけませんでしたか？,,,,,
おいおい、笑わせるぜ,,,,,
この街で怪しくねぇ奴の方が珍しいっての,,,,,
まぁ…もっともですね,,,,,
では、質問を変えましょう,,,,,
最近身の回りで何か変わったこととかは,,,,,
ありませんでしたか？些細なことでもいいですが……,,,,,
あぁ…？そういや街金のヤロウが,,,,,
やけに上機嫌だったな,,,,,

15:食事イベント:1,,,,,
\i[282]ティー [次の時間帯へ/\v[287]G],,,,,
\i[282]エール [次の時間帯へ/\v[391]G],,,,,
\i[281]野菜のポトフ [SAN値回復/\v[392]G],,,,,
\i[281]丸焼きチキン [SAN値回復/\v[393]G],,,,,
あぁん？夜は酒しか出してねぇよ,,,,,
ガキはさっさと帰んな,,,,,
おい、うちは前払いだ,,,,,
金がねぇなら出ていきな,,,,,

15:食事イベント:2,,,,,
おい、何さぼってやがる,,,,,
さっさと仕事に戻れ,,,,,
まだやれます,,,,,
口はいいから手を動かしてくれ,,,,,
つらいです、辞めたいです,,,,,
おい………冗談だろ…,,,,,
長いことやってるがこんな仕事で根を上げるやつは初めて見たぜ,,,,,
好きにしな、報酬は払えねぇぞ,,,,,
商工会の求人募集を見たんですけど,,,,,
こちらであっていますか,,,,,
おう、来たか,,,,,
丁度いいタイミングだ,,,,,
店内の床に落ちてるゴミを掃除してくれ,,,,,
ああ、あと便所の掃除もついでに頼むわ,,,,,
俺はここで仕込みしてるからよ,,,,,
清掃が終わったらここに戻ってきてくれ、任せたぞ,,,,,

15:食事イベント:3,,,,,
早かったな,,,,,
こっちも仕込みが終わったところだ,,,,,
ご苦労だったな,,,,,
またよろしく頼むぜ…お嬢さん,,,,,

15:EV026:0,,,,,
そろそろ地下街の密売所に行こうぜ,,,,,
あそこは夜にしか開いてないからな,,,,,

15:EV026:1,,,,,
へへ、焦んなって,,,,,
今日もベッドでかわいがってやるよ,,,,,

15:EV026:2,,,,,
おいおい、お前は宿のベッドより外のテントのほうが好きなのか？,,,,,

15:EV026:3,,,,,
あぁ、うかつだったな,,,,,
あの赤いやつに追いかけられたときは死ぬかと思ったぜ,,,,,

15:EV027:0,,,,,
そこならダイナマイトが調達できるって本当かい？,,,,,
アンタのいう通り、素材は集めてきたけどよ,,,,,

15:EV027:1,,,,,
ねぇ～…あたい、もう酔いがまわってきちゃったぁ,,,,,

15:EV027:2,,,,,
うっさいわね！ほっときなさいよ！,,,,,

15:EV027:3,,,,,
いってて…まだ傷が痛むよ,,,,,
やっぱり俺たちに西エリアはまだ早かったな,,,,,

15:泥酔:0,,,,,
さすがでヤンスゥ！兄貴ィ～～！,,,,,

15:ギャンブラー:0,,,,,
ひっ…ひぃ……！,,,,,
さ、さてと……それじゃ私はこの辺で…！,,,,,
ええっと……このカップをこっちに…もっていって…,,,,,
おっとと…,,,,,
白髪交じりの冴えない小太りの男は、,,,,,
拙い手つきでカップに入れたコインをこぼした,,,,,
コイン、落としましたよ,,,,,
おぉ、ありがとう、お嬢さん,,,,,
何をしているんですか？,,,,,
ああ、これかい？,,,,,
カップに入れたコインを当てる簡単な賭け事だよ,,,,,
この酒場の若い子たちの間で流行っててね,,,,,
おじさんも会話についていこうとして練習してるんだけど…,,,,,
これがおじさん弱くてさ、いっつも大負けで…,,,,,
若い子達から「歩くおサイフ」なんて呼ばれちゃってさ,,,,,
そうだ、もしよかったら、練習に付き合ってくれないかな？,,,,,
はぁ…賭け事ですか…気乗りはしませんね,,,,,
なぁに、そんなたいした額じゃないよ、数十ゴールドの小銭さ,,,,,
もし気が向いたら付き合ってくれると助かるよ,,,,,
私とコイン勝負してください,,,,,
……戯れにつきあいましょう,,,,,
おっと、すまない,,,,,
種銭が切れてしまったよ,,,,,
今日はおひらきだ,,,,,
しょうがない、ここまで頼み込まれてしまってはな…,,,,,
援助してあげるとしよう,,,,,
ありがとうございます,,,,,
種銭ができたんだ,,,,,
当然、遊んでいくよね？,,,,,
悪いけどやめておこう,,,,,
花を買う金があれば種銭にしたいからねぇ,,,,,
それとこないだのお返し……！覚悟！,,,,,
お、おい！どういうつもりだ！！,,,,,
なんて女だ……！正気か！,,,,,
ちょっと…あまり暴れると首の骨が折れますよ,,,,,
おいおい、なんか喧嘩始まってるぞ,,,,,
いいぞ～！やれやれ～！,,,,,
や、野蛮人め…！,,,,,
フフフ…ざまぁみろ、です,,,,,
あんなコイン遊び、反故にするべきでした,,,,,
最初からこうすれば良かったのです,,,,,
ギャンブルで負けた腹いせに暴力に出るなんて…お前はクズだ…！,,,,,
卑怯な手を使った貴方に言われる筋合いはありません,,,,,
そうだ…いいこと思いつきましたよ,,,,,
あの屈辱……貴方にも味わっていただきます,,,,,
う、うぐぐ…何を…するつもりだ！,,,,,
あっ！やめろ！馬鹿！この！変態女！離せ！！！,,,,,
ちょ…っと…暴れない……で…！,,,,,
\c[27]\n[1]は器用に足の指を使い、男の下着をはぎとった,,,,,
やだぁ～！おちんちんよぉ！,,,,,
ギャハハハ！いいぞ～！ネェチャン！,,,,,
もっとやってやれ～！,,,,,
どうですか？少しは人の痛みを知れたでしょうか,,,,,
"おお""お""っ…お""ごっっ……""",,,,,
あらあら…賭け事をしているときの勇猛な態度からして,,,,,
さぞ立派なモノをお持ちなのかと思ったら……,,,,,
随分と可愛らしいモノをお持ちで\i[15],,,,,
"ひゅー…　ひゅー　…ゆる""じ…で…""",,,,,
聞こえません、もっと大きな声で,,,,,
